file_id,image_id,video_id,cam_trap,species,num_animal,year,month,day,hour,minute,second,file_path,file_name,file_type,data_type,species_new,num_animal_new,file_path_new,file_name_new,species_binary,genus,family,order,class,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10
0000,0000,,SSAMLD2_2,Guerlinguetus,01,2019,03,27,07,26,16,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,2019 03 27 07 26 16.JPG,jpg,image,Guerlinguetus,01,./data/interim/brazil_amld/image/train,train_0000_SSAMLD2_2_Guerlinguetus_01_2019_03_27_07_26_16.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,train,val,test,train,train,train,train
0001,0001,,SSAMLD2_2,Guerlinguetus,01,2019,04,10,08,47,30,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,2019 04 10 08 47 30.JPG,jpg,image,Guerlinguetus,01,./data/interim/brazil_amld/image/train,train_0001_SSAMLD2_2_Guerlinguetus_01_2019_04_10_08_47_30.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train
0002,0002,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,20,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,2019 04 11 08 48 20.JPG,jpg,image,Guerlinguetus,01,./data/interim/brazil_amld/image/val,val_0002_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_20.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train
0003,0003,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,22,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,2019 04 11 08 48 22.JPG,jpg,image,Guerlinguetus,01,./data/interim/brazil_amld/image/train,train_0003_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_22.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train
0004,0004,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,24,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,2019 04 11 08 48 24.JPG,jpg,image,Guerlinguetus,01,./data/interim/brazil_amld/image/test,test_0004_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_24.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,test,train,train,train,train,train,train,train,train,val
0005,0005,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,26,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,2019 04 11 08 48 26.JPG,jpg,image,Guerlinguetus,01,./data/interim/brazil_amld/image/train,train_0005_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_26.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train
0006,,0000,SSAMLD2_2,Guerlinguetus,01,2019,10,14,08,52,18,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,2019 10 14 08 52 18.MP4,mp4,video,Guerlinguetus,01,./data/interim/brazil_amld/video,0000_SSAMLD2_2_Guerlinguetus_01_2019_10_14_08_52_18.mp4,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0007,,0001,SSAMLD2_2,Guerlinguetus,01,2019,10,25,06,24,26,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,2019 10 25 06 24 26.MP4,mp4,video,Guerlinguetus,01,./data/interim/brazil_amld/video,0001_SSAMLD2_2_Guerlinguetus_01_2019_10_25_06_24_26.mp4,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0008,,0002,SSAMLD2_2,Guerlinguetus,01,2019,10,25,06,25,16,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,2019 10 25 06 25 16.MP4,mp4,video,Guerlinguetus,01,./data/interim/brazil_amld/video,0002_SSAMLD2_2_Guerlinguetus_01_2019_10_25_06_25_16.mp4,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0009,0002,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,20,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035429.zip,txt,bbox,Guerlinguetus,01,./data/interim/brazil_amld/bbox/txt/val,val_0002_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_20.txt,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train
