file_id,image_id,video_id,location,cam_trap,species,num_animal,year,month,day,hour,minute,second,file_path,file_name,file_type,data_type,species_new,num_animal_new,file_path_new,file_name_new,species_binary,genus,family,order,class,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,count,order_class
0,0.0,,brazilAMLD,SSAMLD2_2,Guerlinguetus,01,2019.0,3.0,27.0,7.0,26.0,16.0,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,2019 03 27 07 26 16.JPG,jpg,image,Guerlinguetus,1,./data/interim/image/train,train_0000_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_03_27_07_26_16.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,train,val,test,train,train,train,train,304,Rodentia
1,1.0,,brazilAMLD,SSAMLD2_2,Guerlinguetus,01,2019.0,4.0,10.0,8.0,47.0,30.0,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,2019 04 10 08 47 30.JPG,jpg,image,Guerlinguetus,1,./data/interim/image/train,train_0001_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_10_08_47_30.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train,304,Rodentia
2,2.0,,brazilAMLD,SSAMLD2_2,Guerlinguetus,01,2019.0,4.0,11.0,8.0,48.0,20.0,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,2019 04 11 08 48 20.JPG,jpg,image,Guerlinguetus,1,./data/interim/image/val,val_0002_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_20.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train,304,Rodentia
3,3.0,,brazilAMLD,SSAMLD2_2,Guerlinguetus,01,2019.0,4.0,11.0,8.0,48.0,22.0,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,2019 04 11 08 48 22.JPG,jpg,image,Guerlinguetus,1,./data/interim/image/train,train_0003_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_22.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train,304,Rodentia
4,4.0,,brazilAMLD,SSAMLD2_2,Guerlinguetus,01,2019.0,4.0,11.0,8.0,48.0,24.0,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,2019 04 11 08 48 24.JPG,jpg,image,Guerlinguetus,1,./data/interim/image/test,test_0004_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_24.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,test,train,train,train,train,train,train,train,train,val,304,Rodentia
5,5.0,,brazilAMLD,SSAMLD2_2,Guerlinguetus,01,2019.0,4.0,11.0,8.0,48.0,26.0,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,2019 04 11 08 48 26.JPG,jpg,image,Guerlinguetus,1,./data/interim/image/train,train_0005_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_26.jpg,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train,304,Rodentia
1007,277.0,,brazilAMLD,CT01,CuniculusPaca,02,2018.0,10.0,15.0,21.0,58.0,54.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/02,2018 10 15 21 58 54.JPG,jpg,image,CuniculusPaca,2,./data/interim/image/train,train_0277_brazilAMLD_CT01_CuniculusPaca_02_2018_10_15_21_58_54.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,val,test,train,304,Rodentia
1011,278.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,8.0,11.0,1.0,39.0,43.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 08 11 01 39 43.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/test,test_0278_brazilAMLD_CT01_CuniculusPaca_01_2018_08_11_01_39_43.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,test,train,train,train,train,train,train,train,train,val,304,Rodentia
1012,279.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,8.0,11.0,1.0,46.0,58.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 08 11 01 46 58.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0279_brazilAMLD_CT01_CuniculusPaca_01_2018_08_11_01_46_58.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,val,test,train,304,Rodentia
1013,280.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,1.0,21.0,33.0,16.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 01 21 33 16.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0280_brazilAMLD_CT01_CuniculusPaca_01_2018_09_01_21_33_16.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train,304,Rodentia
1015,281.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,7.0,21.0,9.0,44.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 07 21 09 44.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0281_brazilAMLD_CT01_CuniculusPaca_01_2018_09_07_21_09_44.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,train,val,test,304,Rodentia
1016,282.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,8.0,3.0,52.0,12.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 08 03 52 12.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0282_brazilAMLD_CT01_CuniculusPaca_01_2018_09_08_03_52_12.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train,304,Rodentia
1017,283.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,8.0,4.0,8.0,11.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 08 04 08 11.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0283_brazilAMLD_CT01_CuniculusPaca_01_2018_09_08_04_08_11.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train,304,Rodentia
1018,284.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,8.0,4.0,10.0,41.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 08 04 10 41.jpg,jpg,image,CuniculusPaca,1,./data/interim/image/val,val_0284_brazilAMLD_CT01_CuniculusPaca_01_2018_09_08_04_10_41.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train,304,Rodentia
1019,285.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,10.0,20.0,54.0,54.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 10 20 54 54.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0285_brazilAMLD_CT01_CuniculusPaca_01_2018_09_10_20_54_54.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,val,test,train,train,304,Rodentia
1020,286.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,19.0,1.0,42.0,48.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 19 01 42 48.jpg,jpg,image,CuniculusPaca,1,./data/interim/image/val,val_0286_brazilAMLD_CT01_CuniculusPaca_01_2018_09_19_01_42_48.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train,304,Rodentia
1021,287.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,21.0,1.0,9.0,17.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 21 01 09 17.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0287_brazilAMLD_CT01_CuniculusPaca_01_2018_09_21_01_09_17.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,val,test,train,304,Rodentia
1022,288.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,28.0,22.0,54.0,1.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 28 22 54 01.jpg,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0288_brazilAMLD_CT01_CuniculusPaca_01_2018_09_28_22_54_01.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,val,test,train,train,train,304,Rodentia
1023,289.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,29.0,23.0,35.0,18.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 29 23 35 18.jpg,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0289_brazilAMLD_CT01_CuniculusPaca_01_2018_09_29_23_35_18.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,val,test,train,304,Rodentia
